id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
325,Novem 5 mg/ml Solution for Injection for Cattle and Pigs,"EU/2/04/042/001-002, 007-010",Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
692,Novem 40 mg/ml Solution for Injection for Cattle,EU/2/04/042/015-018,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
429,Naxcel 200 mg/ml Suspension for Injection for Cattle,EU/2/05/053/003,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,200,3rd 4th cephalosporins,Injection,
446,"Meloxidyl 20mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/06/070/005-007,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
492,"Rheumocam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/07/078/011-014,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
552,Rheumocam 5 mg/ml Solution for Injection for Cattle and Pigs,EU/2/07/078/018-020,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
381,"Zactran 150 mg/ml Solution for Injection for cattle, sheep and pigs",EU/2/08/082/001-007,Gamithromycin,,POM-V,Solution for injection,Antimicrobial,ml,150,Macrolides,Injection,
389,Startvac Emulsion for Injection for Cattle,EU/2/08/092/001-010,"Escherichia coli, Staphylococcus aureus",,POM-V,Emulsion for injection,Inactivated Bacterial Vaccine,,,,,
570,"Melovem 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/09/098/002-004,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
571,Melovem 30 mg/ml Solution for Injection for Cattle and Pigs,EU/2/09/098/005-007,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
430,Zolvix 25 mg/ml Oral Solution for Sheep,EU/2/09/101/001-010,Monepantel,,POM-VPS,Oral solution,Anthelmintic,,,,,
417,Zulvac 8 Ovis,EU/2/09/104/001-002,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
411,Zulvac 8 Bovis suspension for injection for cattle,EU/2/09/105/001-002,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
418,Bovilis BTV8 Suspension for Injection for Cattle and Sheep,EU/2/10/106/001-014,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
966,Emdocam 5 mg/ml Solution for Injection for Cattle and Pigs,EU/2/11/128/004-006,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
905,NASYM Lyophilisate and Solvent for Suspension for Injection or Nasal Spray for Cattle,EU/2/19/241/001-005,Bovine respiratory syncytial virus,,POM-V,Lyophilisate and solvent for suspension for injection,Live Viral Vaccine,,,,,
744,"Tulaven 100 mg/ml solution for injection for cattle, pigs and sheep",EU/2/20/251/001-005,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
757,Tulaven 25 mg/ml solution for injection for pigs,EU/2/20/251/006-008,Tulathromycin,,POM-V,,Antimicrobial,ml,25,Macrolides,,
741,"Tulissin 100, Solution for Injection for Cattle, Pigs and Sheep",EU/2/20/252/001-007,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
745,"LYDAXX 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",EU/2/20/253/001-004,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
819,Orbolan Lactating 200 mg Intramammary Suspension for Cattle and Sheep,42058/4188,Cloxacillin,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,200,beta,Intramammary lactating cow,
761,"Tulinovet 100 mg/ml solution for injection for cattle, pigs and sheep",EU/2/20/257/001-004,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
766,"Increxxa 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",EU/2/20/258/001-005,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
771,"Rexxolide 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",EU/2/20/263/001-003,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
818,Ectron 10 mg/ml Spot-on Solution for Cattle and Sheep,50146/4024,Deltamethrin,,POM-VPS,Spot-on solution,Ectoparasiticide,,,,,
809,Zulvac 1 Bovis Suspension for Injection for Cattle,EU/2/11/130/001-003 ,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
808,Zulvac 1 Ovis Suspension for Injection for Sheep,EU/2/11/131/001-006 ,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
823,Bovalto Ibraxion Emulsion for Injection,EU/2/99/017/001-006,Infectious bovine rhinotraceitis virus,,POM-V,Emulsion for injection,Inactivated Viral Vaccine,,,,,
604,Metacam 40 mg/ml Solution for Injection for Cattle and Horses,EU/2/97/004/050-053,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
188,Streptacare Suspension for Injection,02000/4155,"Dihydrostreptomycin Sulphate, Procaine Benzylpenicillin",,POM-V,Suspension for injection,Antimicrobial,ml,364,Multiple actives,Injection,
189,"Oxycare 200 mg/ml LA Solution for Injection for Cattle, Sheep and Pigs",02000/4156,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
278,Endoworm 2.265% w/v Oral Suspension,02000/4190,Oxfendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
301,Dunlop's 40 CM Solution For Injection,02000/4216,"Boric Acid, Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
788,"Cobactan LC, 75 mg, Intramammary Ointment for Lactating Cattle",01708/4451,Cefquinome,,POM-V,Intramammary ointment,Antimicrobial intramammary,items,75,3rd 4th cephalosporins,Intramammary lactating cow,
789,Cobactan 2.5% w/v Suspension for Injection for Cattle and Pigs,01708/4452,Cefquinome,,POM-V,Suspension for injection,Antimicrobial,ml,25,3rd 4th cephalosporins,Injection,
784,Blackleg Vaccine,01708/4507,Clostridium chauvoei,,POM-VPS,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
792,Tribovax T,01708/4554,"Clostridium chauvoei, Clostridium haemolyticum, Clostridium novyi, Clostridium septicum, Clostridium tetani",,POM-VPS,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
793,Louping-Ill Vaccine,01708/4555,Louping Ill virus,,POM-VPS,Emulsion for injection,Inactivated Viral Vaccine,,,,,
810,Kepravine Dry Cow 250 mg Intramammary Suspension,01708/4587,Cephalonium,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,250,1st 2nd cephalosporins,Intramammary dry cow,
800,Anofline Lactating Cow Intramammary Suspension,02000/4199,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,200,Penicillins,Intramammary lactating cow,
302,Anivit 4BC Solution For Injection,02000/4219,"Ascorbic Acid, Nicotinamide, Pyridoxine Hydrochloride, Riboflavine Sodium Phosphate, Thiamine Hydrochloride",,POM-VPS,Solution for injection,Vitamin,,,,,
328,Norocarp 5.0% w/v Large Animal Solution for Injection,02000/4246,Carprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
907,Ampredclav Intramammary Suspension for Lactating Cows,02000/4240,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,200,Penicillins,Intramammary lactating cow,
346,Duphacort Q 0.2% w/v Solution for Injection,02000/4255,Dexamethasone Sodium Phosphate,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
274,Megorex 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4065,Chlorhexidine Gluconate,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
291,Hexodip Extra 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4083,Chlorhexidine Gluconate,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
323,Leyodip 2.15% w/v Concentrate Teat Dip and Teat Spray Solution,03940/4094,Available Iodine,,AVM-GSL,Concentrate and diluent for solution for injection,Antiseptic,,,,,
420,3TX 1:3 2.15% w/v Concentrate for Teat Dip and Teat Spray Solution,03940/4098,Available Iodine,,AVM-GSL,Concentrate and diluent for solution for injection,Antiseptic,,,,,
449,Golden 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4099,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
859,Novem 20 mg/ml Solution for Injection for Cattle and Pigs,04491/5036,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
860,Novem 40 mg/ml Solution for Injection for Cattle,04491/5037,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
777,Duphapen + Strep Procaine Penicillin 200 mg & Dihydrostreptomycin Sulphate 250 mg Suspension for Injection,42058/4045,"Dihydrostreptomycin Sulphate, Procaine Benzylpenicillin",,POM-V,Suspension for injection,Antimicrobial,ml,364,Multiple actives,Injection,
787,Duphapen 300 mg/ml Suspension for Injection,42058/4046,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,171,Penicillins,Injection,
813,Pathozone 250 mg Intramammary Suspension for Cattle,42058/4095,Cefoperazone,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,250,3rd 4th cephalosporins,Intramammary lactating cow,
412,Cefenil 50mg/ml Powder and Solvent for Solution for Injection for Cattle and Pigs,02000/4278,Ceftiofur,,POM-V,Powder and solvent for solution for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
422,Magnidown 25% w/v Solution for Injection,02000/4287,Magnesium Sulphate Heptahydrate,,POM-VPS,Solution for injection,Mineral deficiency,,,,,
454,Norotril Max 100 mg/ml Solution for Injection for Cattle,02000/4302,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
548,Noreprinec 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,02000/4341,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
798,Anivit B12 Solution for Injection 1000 µg/ml,10434/4064,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
799,Anivit B12 Solution for Injection 250 µg/ml,10434/4067,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
549,Norbonex 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,02000/4342,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
820,Flukenil 50mg/ml Oral Suspension for Sheep,02000/4401,Closantel,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
711,Paraclav Intramammary Suspension for Lactating Cows,02000/4426,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,200,Penicillins,Intramammary lactating cow,
220,Megodine 1:3 Concentrate Teat Dip and Teat Spray Solution 2.15% w/v,03940/4049,Available Iodine,,AVM-GSL,Concentrate and diluent for solution for injection,Antiseptic,,,,,
221,Genus High Emollient 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4051,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
674,"Ceftiocyl Fluid 50 mg/ml, Suspension for Injection for Pigs and Cattle",08007/4146,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
286,Depidex Drench 0.08% w/v Oral Solution for Sheep,12501/4110,Ivermectin,,POM-VPS,Oral solution,Endectocide,,,,,
822,Niltrem 34 mg/ml Oral Suspension for Cattle ,08749/4076,Oxyclozanide,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
797,Levitape Oral Suspension for Sheep,08327/4248,"Levamisole Hydrochloride, Praziquantel",,POM-VPS,Oral suspension,Anthelmintic,,,,,
781,Ubro Red Dry Cow Intramammary Suspension,08327/4304,"Framycetin Sulphate, Penethamate hydriodide, non-micronised, Procaine Benzylpenicillin",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,331,Multiple actives,Intramammary dry cow,
782,Ubro Yellow Milking Cow Intramammary Suspension,08327/4305,"Dihydrostreptomycin, Framycetin Sulphate, Penethamate hydriodide, non-micronised, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,325,Multiple actives,Intramammary lactating cow,
69,"Voren Suspension for Injection, 1 mg/ml",08327/4321,Dexamethasone Isonicotinate,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
572,Clavamox LC Intramammary Suspension for Lactating Cattle ,42058/4017,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,200,Penicillins,Intramammary lactating cow,
47,Effydral Effervescent Tablet,42058/4056,"Citric Acid Anhydrous , Glycine, Lactose Monohydrate, Potassium Chloride, Sodium Bicarbonate, Sodium Chloride",,AVM-GSL,Effervescent tablet,Replacement Agent,,,,,
206,Lactovac Suspension for Injection,42058/4075,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",,POM-VPS,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
133,Orojet Lamb Oral Solution,42058/4093,"Neomycin Sulphate, Streptomycin Sulphate",,POM-V,Oral solution,Antimicrobial,ml,140,Multiple actives,Oral Solution,
82,Tetra-Delta Intramammary Suspension,42058/4152,"Dihydrostreptomycin, Neomycin, Novobiocin, Prednisolone, Procaine Benzylpenicillin",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,362,Multiple actives,Intramammary lactating cow,
398,Zermasect Cattle Pour-On Solution 15 g/litre ,42058/4167,Alpha-Cypermethrin,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
112,Terramycin Soluble Powder Concentrated 20% w/w Oral Powder,42058/4204,Oxytetracycline,,POM-V,Oral powder,Antimicrobial,g,200,Tetracyclines,Oral Powder,
110,Bovidec Suspension for Injection,43684/4001,Bovine viral diarrhoea virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
632,Marbim 100 mg/ml Solution for Injection for Cattle and Pigs,50146/4004,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
812,Boviseal 2.6 g Intramammary Suspension for Cattle (Dairy Cows),41966/4001,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
