id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
172,Imizol 85 mg/ml Solution for Injection,01708/4576,Imidocarb,,POM-V,Solution for injection,Antiprotozoal,,,,,
889,"Draxxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",42058/5021,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
4,Zerofen Worm Drench 2.5% w/v Oral Suspension for Sheep and Cattle,11990/4000,Fenbendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
890,Naxcel 200 mg/ml Suspension for Injection for Cattle,42058/5041,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,200,3rd 4th cephalosporins,Injection,
891,Pirsue 5 mg/ml Intramammary Solution for Cattle,42058/5045,Pirlimycin Hydrochloride,,POM-V,Intramammary solution,Antimicrobial intramammary,items,50,Lincosamides,Intramammary lactating cow,
621,Rispoval RS + PI3 IntraNasal,43877/4000,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus",,POM-V,Solution for injection,Live Viral Vaccine,,,,,
3,Zerofen Worm Drench 10% w/v Oral Suspension for Sheep and Cattle,11990/4001,Fenbendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
892,Zulvac 1+8 Bovis Suspension for Injection for Cattle,42058/5088,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
893,Zulvac 1+8 Ovis Suspension for Injection for Sheep,42058/5089,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
894,Zulvac 8 Ovis,42058/5090,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
583,Cemay 50 mg/ml Suspension for Injection for Pigs and Cattle,42204/4000,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
