id,field_id,pasturetype_id
2056,10aaed8c-53b7-48a8-85c8-5c9ef99e380b,2
2065,131f04ec-4986-4baa-8a00-b8d2c9f49b81,4
2073,0c3ae831-5449-45b9-8e98-7e74af1a4bad,2
2076,9d8a38be-fc2a-4aaa-9b6c-913ab4cb93d7,6
2081,4d512ac9-bdf7-4de7-9c07-744c92d2ab80,1
2086,6f91b879-dba5-4b9e-b36d-7aab0f2ec25b,1
2093,e5a6991f-1263-4973-bb17-c270a5bd9d08,6
2105,1876c8ee-7218-46b8-a709-723f005da907,1
2137,d1536cfb-8791-4786-b835-4e7ad02917f2,2
2141,5bae1d6e-68a5-4924-8de3-e2c0d693ce97,2
2148,43552bb7-dc25-4c4a-9caa-57211621f18e,1
2164,2e4b302c-3624-4c26-87dc-6161c8f68ff2,5
2172,752a9d5e-3fe1-42e4-91bf-349d3aef54ea,2
2176,9415e417-c6fb-45ce-8eae-9d849c49453b,3
2198,ff76d9cb-6875-4390-a83b-21b861bddb5b,2
2199,aa2f366a-e5df-4e2f-a65a-9fc360130124,2
2219,85e822e8-17c0-4804-9364-89db69ebc5ea,1
2223,0bf1068f-08e1-4160-9f69-59ca133287a3,5
2229,5903e6fe-dbb6-4aa9-8a22-c8a36a198841,2
2607,0e996038-931d-4248-b16e-9ca742322c56,5
2248,62931717-8c1c-4c82-9277-7fc6684a2658,4
2254,7a483507-5d3d-445f-945f-73b0a8fc7d68,6
2262,369994bb-943c-42b9-9292-35a3350f8981,4
2270,5e598c6a-41bf-4a1c-805d-c5da0b74be0f,6
2275,97a303c4-33b8-4bc0-9dfc-3cbc6ad9499c,6
2276,7c7a14d4-493d-4a10-99d6-207b7eb6790a,6
2277,a2677898-ca70-455d-93be-28f8f2611f02,1
2292,8413cda0-1dc5-450e-b213-f334698fc16d,5
2306,e63b9b17-53c2-4a4a-9641-576a9ee8c324,5
2311,cc74c2df-fef8-43b3-a12a-7c6d7a20ff27,5
2312,76fa9729-7348-4601-a623-0de96132c487,5
2322,0b6d39a4-a909-417c-aacb-2e1a49328ed0,1
2325,a319aba7-a32a-4cdc-97ad-b983cc664341,5
2355,a7ab512e-e70f-48a0-967f-7d3dccd9af51,6
2360,4a8cef8c-a353-4d37-bed2-88208692bad6,5
2367,82ae99a8-f31a-4286-975c-87ba4fcb1ad8,2
2383,0c4a9896-827b-4836-8f51-85746077845a,5
2385,0e5488f0-e23a-4954-b20c-2b2947db2f91,5
2389,6c074ac3-b49e-47dd-afbf-973fb07a899f,4
2397,4c9353ee-0824-4ecc-aef0-2702b332338e,2
2398,a12a4651-431b-4f4f-bf18-3292378f8869,2
2402,d40c7d89-5943-4a86-bb6d-3430351aa59b,4
2412,eaac0c2d-6992-432c-a8ec-b10ba9d69d9a,2
2417,cd9b565d-66e7-4a87-898b-3046183763b2,6
2418,7d35f431-3a9f-4d4c-824f-9eea5cc744c3,6
2421,f20c5f4c-7885-46f8-845f-264fd5ab3f1f,6
2426,5a6ab6a0-dcb5-4f7b-b03d-379e0740d17b,2
2428,8733f594-02ed-42dd-b727-369aaf4b6453,4
2440,0d949043-6f5d-4802-9678-939f6529badc,4
2468,c33c4dcf-054c-40f8-a4fd-e25bb4c369cb,6
2483,f06176a9-e02d-43d8-bd46-736be733c222,5
2487,3b81cb7f-5bac-445e-a6f6-7237dd309344,2
2505,f88b40d8-22c8-4488-bec7-249885bfa42c,1
2509,ad72661c-2bb9-4d9c-a10a-2c0888946f6c,1
2521,17996f02-9085-4395-96af-7bbc0041a833,5
2522,b85ad0e2-e557-43bb-a122-cf20e3dc7ac2,2
2527,b6401c65-93a3-4794-b6ce-c9b748d38ffc,6
2530,213fe844-9e89-4010-86c7-724f6508b635,2
2533,70e585d5-15a1-43a2-a5dd-fb155bfe5723,4
2539,c6fbd13e-4eb2-48d2-bc03-a9ff29475c4c,5
2547,54e4f1de-24f6-425d-8d77-490f8cf3d4fb,5
