animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
490951fb-0ec8-4df9-9d38-c284dcfa416b,,,,,,,,B-230B-GB037K-7J4N3L,
75b34d7f-fed4-422e-980d-64ebe455f23f,,,,,,,,B-2304-GB037K-J55J9C,
ce6db7ba-255e-43f3-ba67-5fcd4ceb5db6,,,,,,,,B-2300-GB037K-PZK9VK,
3d1b3af7-c6d8-4c75-8c67-24d5915c7e52,,,,,,,,B-230J-GB037K-SPHLS3,
17ab27bc-dd83-46b0-a56d-ba78b41ee803,,,,,,,,B-2308-GB037K-K6MXDH,
7fa8f41a-e525-43cc-b219-e33af5f85ac4,,,,,,,,B-2307-GB037K-DF19LD,
7c0be3de-f78b-427a-9101-1d53cf41e03f,,,,,,,,B-230D-GB037K-1KW72J,
a10906f3-e68c-4d8e-8c66-6fac44c07739,,,,,,,,B-2304-GB037K-NJ0K54,
9bf75b6b-81c9-491a-92eb-117622af2596,,,,,,,,B-230X-GB037K-YL5YX8,
fffd1f96-ac35-48d5-8fba-2abf682c23a2,,,,,,,,B-2302-GB037K-VC4S1T,
a3c8002c-90b9-4997-a3ec-44db850810d2,,,,,,,,B-230P-GB037K-Y1JJK0,
a4e4c0c0-632c-43f9-8421-8fe59205c796,,,,,,,,B-2302-GB037K-R71FH1,
b30ecc30-110f-4d65-893e-343ef12b8fe0,,,,,,,,B-230V-GB037K-Q708F3,
f6e6742d-ed4f-46bb-afda-c6db63cbd496,,,,,,,,B-2307-GB037K-KNXD8C,
a790842e-a8bd-40fe-bc72-e2fa02507c7b,,,,,,,,B-230K-GB037K-BFMJPW,
46254ee9-2052-46fb-b70f-8553039d2053,,,,,,,,B-230F-GB037K-QJN2VJ,
344288e3-285e-457c-85f6-b89ad642fb40,,,,,,,,B-230Y-GB037K-KFWHVN,
7d499dfe-a781-423e-b384-770d65785fe4,,,,,,,,B-230M-GB037K-K5QHJ2,
7f50ed19-0295-441d-be5c-b231333ed4df,,,,,,,,B-2301-GB037K-L8N3LR,
c415e974-0993-4a38-af16-caf9c7330113,,,,,,,,B-230H-GB037K-TK4XX2,
fd5a7845-2b68-403b-b2ac-31b26a2cf779,,,,,,,,B-230X-GB037K-HJCGGJ,
cdd1a945-2f2e-4e8e-b802-7c7b50a326fe,,,,,,,,B-230V-GB037K-SFTCC0,
d8815721-4f0e-4ecd-8f48-5b7c0a0324ec,,,,,,,,B-230D-GB037K-RL19L1,
d4275e18-239e-4fda-a44b-647e248a73e2,,,,,,,,B-230C-GB037K-F02L23,
da5bc2f5-cb34-44f9-a63a-9eac68bcd422,,,,,,,,B-230V-GB037K-884VGS,
b2376ee4-76ce-4671-bc98-393e4fc51a22,,,,,,,,B-230Q-GB037K-1PFD5X,
d1d93cc0-ab7a-443d-ba74-9ebb08cc075d,,,,,,,,B-230K-GB037K-0CJ6ZD,
0cce6619-7f39-4ef2-adb6-f99e50cd9cf6,,,,,,,,B-230M-GB037K-YJ023W,
f28a090e-2b3c-4d77-997b-50e2af8f0f8b,,,,,,,,B-230V-GB037K-X42THB,
97269045-03c2-4112-830d-bd36b56c0028,,,,,,,,B-2305-GB037K-PG30YW,
49122c85-c7e7-4c14-b789-01facd490b2b,,,,,,,,B-230M-GB037K-TXVD3G,
eea8cd85-dc45-4ecb-a34f-cacaef14c06d,,,,,,,,B-230B-GB037K-9G1S7F,
fdb94142-da49-4be5-aca8-e9907e181a10,,,,,,,,B-2304-GB037K-CQ0QMM,
b7b75e50-46d7-423e-ade1-91a5cf297b70,,,,,,,,B-230F-GB037K-NBH63K,
890bbdc6-355f-4085-be84-b1241cce563b,,,,,,,,B-2306-GB037K-ZSW095,
d03c4cdf-f657-4673-af80-115ec8a5ec0c,,,,,,,,B-230V-GB037K-19GMPN,
8359768c-46c9-42c5-83ab-58c32b1913ca,,,,,,,,B-230W-GB037K-3VFJ5Q,
f6114877-31ca-4e6d-bdbc-b3d5d4ee816c,,,,,,,,B-230G-GB037K-ZW6WLV,
e55cdd80-0e6c-4cbe-8faf-d693065d9df1,,,,,,,,B-230T-GB037K-2J2LTN,
32be6f70-14db-461a-9352-928509cc94c4,,,,,,,,B-2306-GB037K-L7RL8P,
70924c60-c63e-4e77-a26a-78d3724cf761,,,,,,,,B-230H-GB037K-K6F2Y6,
d2bba77c-7341-4e41-9de4-2ea193187c34,,,,,,,,B-230K-GB037K-RCD0DK,
2385368c-be13-407f-a0b2-cab178145872,,,,,,,,B-2307-GB037K-VTSSX0,
