id,lot_number,kill_number,centre_name,centre_number,kill_date,side_1_weight,side_2_weight,carcass_cold_weight,condemned_weight,price,condition,buyer,conformation,european_category,animal_id,hot_weight,fat_class,grading,note,value,killsheet_upload_id
44161,25,7 - 005474,,,2024-04-23,,,218.8,,,,CENTRE NAME A,-O,,2990acf6-d45e-490e-a3c3-cf58884af2ab,,O3,-O3,,,
44171,25,7 - 005486,,,2024-04-23,,,284.6,,,,CENTRE NAME A,-O,,31eac5fd-2662-4c6b-8c19-c5278b07e200,,O3,-O3,,,
44174,25,7 - 005492,,,2024-04-23,,,278.9,,,,CENTRE NAME A,-O,,595efe9c-c095-4374-ad95-2777b5604f37,,O3,-O3,,,
33380,3,7 - 000229  SAA,,,2023-03-09,,,289.1,5.9,,,CENTRE NAME A,O+,,4bf63f47-bd63-4c0c-a826-0028fa35bed7,,4L,O+4L,,,
33708,2,7 - 002017,,,2023-03-16,,,275.4,,,,CENTRE NAME C,O+,,9bf75b6b-81c9-491a-92eb-117622af2596,,3,O+3,,,
33720,2,7 - 002033,,,2023-03-16,,,247.8,,,,CENTRE NAME C,O+,,ee195c95-8a17-484b-905a-e51ba97db105,,4L,O+4L,,,
33744,2,7 - 002088,,,2023-03-16,,,264.0,,,,CENTRE NAME C,O+,,797565bb-9968-444b-9af2-9eac79ca44c6,,4L,O+4L,,,
33779,2,7 - 002131,,,2023-03-16,,,289.7,,,,CENTRE NAME C,O+,,18082121-85e5-4058-97cd-572766f087d5,,4L,O+4L,,,
33801,2,7 - 002220,,,2023-03-16,,,280.8,,,,CENTRE NAME C,R,,8cf7af38-5759-4525-aac2-96fdc0a6010d,,3,R3,,,
35047,18,2 - 005579  H,,,2023-04-25,,,293.8,,,,CENTRE NAME C,4L,,f72c65b9-046d-4017-996c-06a1c692ad07,,O+,O+4L,,,
33441,3,7 - 000288  HAA,,,2023-03-09,,,298.9,6.1,,,CENTRE NAME C,4L,,3cbdf922-6d25-4a37-96de-2c76d8e27744,,O+,O+4L,,,
33791,2,7 - 002204  HAA,,,2023-03-16,,,264.4,,,,CENTRE NAME C,4H,,6b25474f-866e-4efa-bbe9-ae9f50c78b4a,,O+,O+4H,,,
44116,9.0,7 - 009601,,,2024-04-02,,,260.6,,,,CENTRE NAME B,-O,,ead78669-f157-494e-9345-a6a9d45ce623,,O3,-O3,,,
44119,9.0,7 - 009604,,,2024-04-02,,,226.4,,,,CENTRE NAME B,-O,,49122c85-c7e7-4c14-b789-01facd490b2b,,4L,-O4L,,,
44125,9.0,7 - 009610,,,2024-04-02,,,239.5,,,,CENTRE NAME B,-O,,4ffa997c-8b3e-40af-a6d4-e806b0acef59,,O3,-O3,,,
44126,9.0,7 - 009611,,,2024-04-02,,,217.2,,,,CENTRE NAME B,-O,,5b34f6b4-21f5-4ead-b8db-21a17ba34064,,O3,-O3,,,
44131,9.0,7 - 009616,,,2024-04-02,,,210.2,,,,CENTRE NAME B,-O,,e96b5f3d-1e36-4ce6-b1c1-d4a0d88a8fed,,O2,-O2,,,
44149,43,7 - 006609,,,2024-02-13,,,248.0,,,,CENTRE NAME A,O+,,af928aaa-59f6-4056-ab3b-f9dcd1ac3aa4,,4L,O+4L,,,
44151,25,7 - 005452,,,2024-04-23,,,247.2,,,,CENTRE NAME A,-O,,4bfe6032-bbe1-485e-8b29-2aa4a92ee6f1,,O3,-O3,,,
44152,25,7 - 005453,,,2024-04-23,,,251.1,,,,CENTRE NAME A,-O,,7ce69f8f-5ae4-40c1-80b2-d8399f1edb64,,O2,-O2,,,
44177,25,7 - 005498,,,2024-04-23,,,266.0,,,,CENTRE NAME A,-O,,8b9c0475-b9bc-4ba3-9502-ccd88983b7eb,,O3,-O3,,,
33368,3,7 - 000214  SAA,,,2023-03-09,,,293.2,6.0,,,CENTRE NAME A,O+,,204c79ea-7f9a-443f-866f-6005b2594f18,,3,O+3,,,
33384,3,7 - 000234  SAA,,,2023-03-09,,,269.7,5.5,,,CENTRE NAME A,O+,,3769fe44-8393-4fff-a46c-a8e88b86fa0a,,3,O+3,,,
33387,3,7 - 000240  SAA,,,2023-03-09,,,305.2,6.2,,,CENTRE NAME A,R,,da54e5a2-fbfb-4b1d-8ec7-c4d5f6ed26ed,,4L,R4L,,,
33416,3,7 - 000270  HAA,,,2023-03-09,,,282.8,5.8,,,CENTRE NAME A,O+,,54e8cc83-b361-481e-a243-c7da1171c9f1,,4L,O+4L,,,
33452,3,7 - 000298  SAA,,,2023-03-09,,,292.0,6.0,,,CENTRE NAME A,O+,,3f5016c5-dcc8-4703-9591-0a49ceeb8e42,,4L,O+4L,,,
33456,3,7 - 000300  H,,,2023-03-09,,,289.1,5.9,,,CENTRE NAME C,4H,,6dd09559-842f-400f-b1de-3e824510afc5,,R,R4H,,,
33704,2,7 - 002015,,,2023-03-16,,,275.8,,,,CENTRE NAME C,O+,,7cc80a5c-c9cd-4f94-9c03-206e273ba25e,,4L,O+4L,,,
33714,2,7 - 002023,,,2023-03-16,,,268.4,,,,CENTRE NAME C,O+,,a1075b21-93bf-4250-83a2-27a2f1dfc7f7,,3,O+3,,,
33735,2,7 - 002074,,,2023-03-16,,,270.9,,,,CENTRE NAME C,O+,,10675540-984d-4638-a65f-c875e78dd191,,4L,O+4L,,,
33740,2,7 - 002085,,,2023-03-16,,,260.1,,,,CENTRE NAME C,O+,,3873163d-60a2-440b-91aa-e9903ea15236,,4L,O+4L,,,
33753,2,7 - 002106,,,2023-03-16,,,259.1,,,,CENTRE NAME C,O+,,82f1eae4-3385-4478-a5ea-70cd428474f3,,4L,O+4L,,,
33759,2,7 - 002112,,,2023-03-16,,,274.0,,,,CENTRE NAME C,O+,,5776f066-a82c-4f55-99be-d1e3be638c19,,4H,O+4H,,,
33750,2,7 - 002096  HAA,,,2023-03-16,,,271.3,,,,CENTRE NAME C,4L,,204f1a14-0a08-4e81-8d01-bbd8984e47dd,,O+,O+4L,,,
33803,2,7 - 002227,,,2023-03-16,,,252.4,,,,CENTRE NAME C,R,,a7ca25f7-d17f-41ce-9f6a-f9df97c5b5d5,,4H,R4H,,,
44101,9.0,7 - 009587,,,2024-04-02,,,205.8,,,,CENTRE NAME B,-O,,c8e42b20-ae5c-4776-8eed-8b0bf6db4837,,4L,-O4L,,,
44113,9.0,7 - 009598,,,2024-04-02,,,220.6,,,,CENTRE NAME B,-O,,f068c0bd-12be-4798-b721-3fecbfd6f223,,O3,-O3,,,
44117,9.0,7 - 009602,,,2024-04-02,,,303.8,,,,CENTRE NAME B,-O,,f161da6c-1ac0-4ae0-a5ac-6a2e60cf25dd,,O3,-O3,,,
44122,9.0,7 - 009607,,,2024-04-02,,,279.1,,,,CENTRE NAME B,-O,,85dba3b1-819b-4c61-b64c-9584d64f9236,,O3,-O3,,,
44136,9.0,7 - 009628,,,2024-04-02,,,214.2,,,,CENTRE NAME B,-O,,affc71e8-ae23-49d1-b03c-15f85d55cb0a,,O3,-O3,,,
44137,9.0,7 - 009631,,,2024-04-02,,,255.4,,,,CENTRE NAME B,O+,,8c6748b0-8942-4ac3-8af2-95c9732c595c,,+3,O+3,,,
44168,25,7 - 005483,,,2024-04-23,,,245.8,,,,CENTRE NAME A,-O,,948ac2a7-1ca1-4ac8-8d25-7c93a0f6e5b6,,O3,-O3,,,
44169,25,7 - 005484,,,2024-04-23,,,274.6,,,,CENTRE NAME A,-O,,a3c8002c-90b9-4997-a3ec-44db850810d2,,O3,-O3,,,
