Unique Ref,Tranche,Level 1,Level 2,Level 3,Level 4,Complex Type,Attribute,Description,Mandatory ?,Data Type,Accepted Values,Validation,Drop-Down/Metaval
411,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,fsServerName,The name of the FileStore server that the document will be held on.,Optional,string (21),,,
412,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,guid,The document's unique identifier in FileStore,Optional,string (100),,,
413,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,location,Folder name the document is saved in. ,Optional,string (100),,,
414,POLICY,Policy,diary,documentSupportingDiary,certificateScheduleBaseDiary,certificateScheduleBaseDiary,printedDate,,Optional,dateTime,,,
415,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,associatedClaimID,,Optional,long,,,
416,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment1,,Optional,string (100),,,
417,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment2,,Optional,string (100),,,
418,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment3,,Optional,string (100),,,
419,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment4,,Optional,string (100),,,
420,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment5,,Optional,string (100),,,
421,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,comment6,,Optional,string (100),,,
422,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,renewalInviteInd,Indicates whether the correspondence diary is a renewal invite,Mandatory,boolean,,,
423,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,timesOnReport,Indicates how many times this Diary Entry has been reported upon,Mandatory,int,,,
424,POLICY,Policy,diary,documentSupportingDiary,correspondenceDiary,correspondenceDiary,typeCode,The correspondence diary type code as configured in Strata,Mandatory,string (255),Reference Data: correspondenceDiaryType.code,,
797,POLICY,Policy,diary,n/a,n/a,diary,actionedBy,Operator who cancelled the diary. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,string (152),Reference Data: operator.loginName,,
798,POLICY,Policy,diary,n/a,n/a,diary,actionedDate,Date on which this Diary Entry was cancelled. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,dateTime,,,
799,POLICY,Policy,diary,n/a,n/a,diary,assignedTo,Reference to the Operator to whom this Diary Entry is assigned. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,string (152),Reference Data: operator.loginName,,
800,POLICY,Policy,diary,n/a,n/a,diary,commencingAt,Specifies the date that this diary entry starts. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,dateTime,,,
801,POLICY,Policy,diary,n/a,n/a,diary,createdDate,MSG - This diary complextype associated with EDIDiary Refs 430-435,Mandatory,dateTime,,,
802,POLICY,Policy,diary,n/a,n/a,diary,diaryComment,Holds any comments relevant to this diary entry. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,string (4000),,,
803,POLICY,Policy,diary,n/a,n/a,diary,doneByOperator,Reference to the Operator who created this Diary Entry. MSG - This diary complextype associated with EDIDiary Refs 430-435,Mandatory,string (152),Reference Data: operator.loginName,,
804,POLICY,Policy,diary,n/a,n/a,diary,dueDate,The date this diary entry is due to be actioned. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,dateTime,,,
805,POLICY,Policy,diary,n/a,n/a,diary,outputType,Specifies the method in which the associated document(s) will be output.. MSG - This diary complextype associated with EDIDiary Refs 430-435,Optional,string (10),Email. Print. Download. [Schema supersedes Metaval - Output Type (1487)],,Yes
430,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,cancelDate,,Optional,dateTime,,,
431,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,extractDate,The date the EDI message was extracted,Optional,dateTime,,,
432,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,message,The raw message data,Optional,string (4000),,,
433,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,messageStatus,,Conditional,string (20),EDI Message Status (1443),,Y
434,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,messageType,,Conditional,string (20),EDI Message Type (1444),,Y
435,POLICY,Policy,diary,documentSupportingDiary,ediDiary,ediDiary,newVersion,The version number. Each time a new EDI message is sent the version number is incremented,Optional,string (255),,,
436,POLICY,Policy,diary,documentSupportingDiary,otherClassicDiary,otherClassicDiary,diaryType,,Optional,string (22),DiaryEntryTypes (95),,Y
437,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,abicode,The vehicle's ABI code,Optional,string (100),,,
438,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,abiProductionYears,Range in years the model was made in ,Optional,string (100),,,
439,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,alarmCode,,Mandatory,string (10),For PC & GV: Alarm - Vehicle (1534),,Yes
440,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,annualMileage,,Mandatory,int,,,
441,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,artModification,A description of any artwork modification on the vehicle,Optional,string (100),,,
442,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,bodyModification,A description of any body modification on the vehicle,Optional,string (100),,,
443,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,bonusProofType,The type of proof offered by the proposer for the number of NCD years,Optional,string (30),NCB Source (53),,Yes
444,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,classOfUse,,Mandatory,string (10),For PC: Class of Use (38). For GV: GV Class Of Use (1415),,Yes
445,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,voluntaryExcess,Value in pence,Mandatory,int,,,
446,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,compulsoryExcess,Value in pence,Mandatory,int,,,
447,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,datePurchased,,Mandatory,dateTime,,,
448,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,drivingOtherVehiclesInd,Indicator that the insurer has granted cover for other vehicles,Mandatory,boolean,,,
449,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,drivingRestrictions,The restriction on the persons allowed to drive the vehicle ,Mandatory,string (10),Driving Restriction (54),Maximum 1 instance of namedDriver if drivingRestrictions is 'INSONLY'. Maximum 2 instances namedDriver if drivingRestrictions is 'INSANDSPSE'. Minimum 2 instances of namedDriver if drivingRestrictions is 'NMDDRVRS',Yes
450,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,engineModification,A description of any engine modification on the vehicle,Optional,string (100),,,
451,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,enginecc,Engine capacity,Mandatory,string (100),,,
452,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,experienceType,Driver experience in lieu of previous insurance,Optional,string (100),Previous Experience (41),Cannot have experienceType if ncbIndicator is true,Yes
453,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,fuelType,,Optional,string (10),Fuel Type (1406),,Yes
454,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,immobiliser,Type of immobiliser fitted,Mandatory,string (10),Immobiliser - Vehicle (1535),,Yes
455,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,manufacturer,Vehicle manufacturer (e.g.Ford),Mandatory,string (100),,,
456,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,modelDesc,Vehicle model (e.g.Focus),Mandatory,string (100),,,
457,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,modificationsind,Indicates the vehicle has been modified,Mandatory,boolean,,,
458,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,motoringOrganisation,Name of the organisation (e.g.RAC),Optional,string (10),MotoringOrg (21),,Yes
459,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbBonusAppliedToOtherVehicle,Indicates whether the NCD is being applied to any other vehicle,Optional,boolean,,,
460,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbPreviousBonusProtected,Indicates whether the previous insurance's No Claims Discount was protected,Optional,boolean,,,
461,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbProtectedImpliedPrice,The Protected NCD implied price,Mandatory,int,,,
462,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbProtectedInd,Indicates whether a Protected No Claims Discount has been granted,Mandatory,boolean,,,
463,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbProven,,Mandatory,boolean,,,
464,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ncbtransferableBonus,The number of years of NCD that are transferable,Optional,int,,,
465,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,otherModification,A description of any other modification on the vehicle,Optional,string (100),,,
466,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,ownerType,,Mandatory,string (10),VehOwner (26),,Yes
467,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,presentMarketValue,Value in £,Mandatory,int,,,
468,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,pricepaid,Value in £,Mandatory,int,,,
469,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,proposerIsKeeperInd,,Mandatory,boolean,,,
470,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,registrationNumber,Vehicle Reg number,Mandatory,string (12),,,
471,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,requestProtectedNCB,Indicates whether a Protected No Claims Discount has been requested,Mandatory,boolean,,,
472,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,trackercode,,Mandatory,string (10),Tracker - Vehicle (1536),,Yes
473,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,transmission,,Optional,string (10),Transmission Type (1405),,Yes
474,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,vehicleGroup,,Optional,string (100),,,
475,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,vehicleLoad,The vehicle loading code.,Optional,string (100),,,
476,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,vehicleTerms1,The vehicle terms value,Optional,string (100),,,
477,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,vehicleTerms2,The vehicle terms value,Optional,string (100),,,
478,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,vehicleType,,Mandatory,string (255),Vehicle Type (1427),,Yes
479,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,wheelsModification,A description of any wheel modification on the vehicle,Optional,string (100),,,
480,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,whereKeptOverNight,,Mandatory,string (10),WhereKept (28),,Yes
481,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,whereKeptPostCode,,Mandatory,string (8),,,
482,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,yearofmake,,Mandatory,string (4),,,
483,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,yearsClaimFree,The number of years that the proposer has not submitted any claims when the proposer has any 'Experience Not In Your Name',Optional,int,,,
484,POLICY,Motor Policy,n/a,n/a,n/a,motorPolicy,yearsNCB,The number of years that no claims bonus is being claimed for,Optional,int,,,
485,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,absInd,Indicates whether the car has ABS (anti-lock brakes) fitted,Mandatory,boolean,,,
486,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,bodyStyle,,Optional,string (10),GV Body Type (1411),,Yes
487,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,grossWeight,In Tonnes,Mandatory,float,,,
488,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,leftHandDriveInd,,Mandatory,boolean,,,
489,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,numberOfDoors,,Mandatory,int,,,
490,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,numberOfSeats,,Mandatory,int,,,
491,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,radius,Maximum distance in miles travelled from base,Mandatory,int,,,
492,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,trailerCover,The type of cover for any trailer.,Optional,string (255),Type of Cover (40),,Yes
493,POLICY,Motor Policy,gvPolicy,n/a,n/a,gvPolicy,trailerValue,The value of the vehicle's trailer,Mandatory,long,,,
494,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,absInd,Indicates whether the car has ABS (anti-lock brakes) fitted,Mandatory,boolean,,,
495,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,bodyStyle,,Mandatory,string (10),BodyStyle (32),,Yes
496,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,businessMileage,,Mandatory,int,,,
497,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,leftHandDriveInd,,Mandatory,boolean,,,
498,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,numberOfDoors,,Mandatory,int,,,
499,POLICY,Motor Policy,pcPolicy,n/a,n/a,pcPolicy,numberOfSeats,,Mandatory,int,,,
500,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,accessToOtherVehicles,,Mandatory,string (100),VehAccess (25),,Yes
501,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,driverNumber,Order of the drivers listed on the policy,Mandatory,int,,The proposer must be driver number 1,
502,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,licenseType,,Optional,string (50),DriverDetail LicenceDetails ClassCode(Instep 20) (2020) - but abbreviated from full Metavals list,,Yes
503,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,drivingLicenceNumber,,Optional,string (50),,,
504,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,medicalConditionConsent,Whether the person gave consent for their medical condition details to be captured,Optional,string (20),,,
505,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,noOfTests,Number of tests taken by Provisional Licence holders,Mandatory,int,,,
506,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,testPassDate,,Optional,dateTime,,,
507,POLICY,Policy,namedPerson,namedDriver,n/a,namedDriver,useOfVehicle,,Mandatory,string (100),VehUse (27),,Yes
508,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,id,Optional sequence number for XML model,Optional,string (255),,,
509,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,convictionCode,The Conviction code as it appears on the driver's licence,Conditional,string (255),Convictions (63) ,,Yes
510,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,convictionDate,,Conditional,dateTime,,,
511,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,drinkReading,Alcohol level reading at time of offense,Optional,int,,This must be specified when convictionCode is DR10DR20DR40 or DR50 ,
512,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,drinkReadingType,Type of drink driving test administered,Optional,string (255),ReadingType (75),This must be specified when convictionCode is DR10DR20DR40 or DR50,Yes
513,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,fineAmount,Value in pence,Optional,long,,,
514,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,monthsSuspended,,Optional,int,,,
515,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,motorClaimId,,Optional,string (255),,,
516,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,offenceDate,,Conditional,dateTime,,,
517,POLICY,Policy,namedPerson,namedDriver,conviction,conviction,points,Points added to licence,Conditional,int,,,
518,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,bypass,Indicates whether this Person has had a heart bypass operation,Optional,boolean,,,
519,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,code,The type of medical condition,Optional,string (255),Medical Conditions (62),,Yes
520,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,conditionDesc,A description of the condition,Optional,string (100),,,
521,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,conditionStatus,,Mandatory,string (255),MedicalDescriptionStatus (74),,Yes
522,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,dailyInsulinUnits,For diabetes conditions,Conditional,int,,,
523,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,dateStarted,The date that the medical condition started,Mandatory,dateTime,,,
524,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,dvlaNotified,,Mandatory,boolean,,,
525,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,dvlaRestricted,,Mandatory,boolean,,,
526,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,insulinInjected,For diabetes conditions,Optional,boolean,,,
527,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,lastAttack,The date the last heart attack occurred,Optional,dateTime,,,
528,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,numberOfAttacks,The number of heart attacks this Person has suffered,Optional,int,,,
529,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,numberOfClaims,The number of claims arising from this condition,Mandatory,int,,,
530,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,treatment,,Mandatory,boolean,,,
531,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,treatmentDesc,A description of the treatment applied,Optional,string (100),,,
532,POLICY,Policy,namedPerson,namedDriver,medicalCondition,medicalConditon,vehicleAdapted,Indicates whether or not the vehicle has been adapted to accommodate the medical condition,Mandatory,boolean,,,
533,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,addressLine1,,Optional,xs:string (32),,,
534,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,addressLine2,,Optional,xs:string (32),,,
535,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,addressLine3,,Optional,xs:string (32),,,
536,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,addressLine4,,Optional,xs:string (32),,,
537,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,addressNameOrNumber,,Optional,xs:string (30),,,
538,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,allRisksVoluntaryExcess,Value in pence,Mandatory,xs:long,,,
539,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,allRisksCompulsoryExcess,Value in pence,Mandatory,xs:long,,,
540,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingGoodStateRepair,,Mandatory,xs:boolean,,,
541,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingWorkInProgress,,Mandatory,xs:boolean,,,
542,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsAccidentalDamage,Flag to indicate buildings accidental damage was requested by the proposer,Mandatory,xs:boolean,,,
543,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsAccidentalDamageGranted,Flag to indicate buildings accidental damage was granted by the insurer,Optional,xs:boolean,,,
544,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsAreaRating,The insurer's rating code for the risk address area relating to buildings cover.,Optional,xs:string (100),,,
545,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsNcbYears,,Optional,xs:int,,,
546,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsSumInsured,Rebuild cost as stated in risk. Value in pence,Mandatory,xs:long,,,
547,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsSumInsuredGranted,Buildings cover amount granted. Value in pence,Optional,xs:long,,,
548,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsVoluntaryExcess,Value in pence,Mandatory,xs:long,,,
549,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,buildingsCompulsoryExcess,Value in pence,Mandatory,xs:long,,,
550,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,burglarAlarm,,Mandatory,xs:string (255),Burglar Alarm Details (1465),,Yes
551,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,businessUse,Indicates whether the property is used for busines,Mandatory,xs:boolean,,,
552,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsAccidentalDamage,Flag to indicate contents accidental damage was requested by the proposer,Mandatory,xs:boolean,,,
553,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsAccidentalDamageGranted,Flag to indicate contents accidental damage was granted by the insurer,Optional,xs:boolean,,,
554,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsAreaRating,The insurer's rating code for the risk address area relating to contents cover.,Optional,xs:string (8),,,
555,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsNcbYears,,Optional,xs:int,,,
556,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsSumInsured,Value in pence,Optional,xs:long,,,
557,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsSumInsuredGranted,Value in pence,Optional,xs:long,,,
558,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsVoluntaryExcess,Value in pence,Mandatory,xs:long,,,
559,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,contentsCompulsoryExcess,Value in pence,Mandatory,xs:long,,,
560,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,country,,Optional,xs:string (255),GB,,
561,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,creditCardSumInsured,Value in pence,Mandatory,xs:long,,,
562,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,deleteLeakXS,Indicates whether the proposer wishes to delete the Escaped Water Excess,Mandatory,xs:boolean,,,
563,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,deleteStormXS,Indicates whether the proposer wishes to delete the Storm or Flood Excess,Mandatory,xs:boolean,,,
564,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,doorAndWindowLocks,,Mandatory,xs:boolean,,,
565,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,drainageMainsConnection,Indicates whether the property is connected to the mains drainage system,Optional,xs:boolean,,,
566,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,firstTimeBuyer,,Mandatory,xs:boolean,,,
567,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,formOfheating,,Optional,xs:string (255),Property Heating Type (1473),,Yes
568,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,freeFromFlooding,,Mandatory,xs:boolean,,,
569,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,freeFromTallTrees,,Mandatory,xs:boolean,,,
570,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,freezerContentsSumInsured,Value in pence,Mandatory,xs:long,,,
571,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,freezerYear,The year the freezer was purchased,Optional,xs:int,,,
572,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,lastElectricalInspection,,Optional,xs:dateTime,,,
573,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,lastRoofInspection,,Optional,xs:dateTime,,,
574,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,letOrSublet,,Mandatory,xs:boolean,,,
575,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,listedBuilding,,Mandatory,xs:string (255),Listed Building Grade (1461),,Yes
576,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,maxCashCreditClaim,The maximum amount payable in the event of a claim for stolen cash or credit cards. Value in pence,Mandatory,xs:long,,,
577,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,money,The value of cash to be insured in pence,Mandatory,xs:long,,,
578,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,neighbourhoodWatch,,Mandatory,xs:boolean,,,
579,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,newForOld,,Mandatory,xs:boolean,,,
580,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,numberOfBedrooms,,Mandatory,xs:int,,,
581,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,numberOfRooms,,Mandatory,xs:int,,,
582,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,occupancy,,Mandatory,xs:string (255),Property Occupancy (1464),,Yes
583,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,ownership,,Mandatory,xs:string (255),Property Ownership (1463),,Yes
584,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,personalEffectsValue,Requested cover for personal effects,Optional,xs:long,,,
585,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,personalEffectsValueGranted,Granted cover for personal effects,Optional,xs:long,,,
586,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,postCode,,Optional,xs:string (8),,,
587,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,propertyUse,,Mandatory,xs:string (255),Property Use (1462),,Yes
588,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,riskType,,Mandatory,xs:string (255),Household Risk Type (1466),,Yes
589,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,roofThatchPercentage,,Optional,xs:int,,,
590,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,safeInstalled,,Mandatory,xs:boolean,,,
591,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,sharedByNonFamilyMembers,,Mandatory,xs:boolean,,,
592,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,smokeDetector,,Mandatory,xs:string (255),Smoke Alarm Details (1467),,Yes
593,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,specifiedContentsLimit,,Mandatory,xs:long,,,
594,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,subsidence,Indicates whether the property is free from subsidence landslip or heave,Mandatory,xs:boolean,,,
595,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,thatchedRoofMaterial,,Optional,xs:string (255),Thatched Roof Material (1472),,Yes
596,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,timberFramedProperty,,Optional,xs:boolean,,,
597,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,typeOfConstruction,,Mandatory,xs:string (255),Property Construction (1460),,Yes
598,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,typeOfProperty,,Optional,xs:string (255),Property Type (1459),,Yes
599,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,unspecifiedItemsValue,The total value of all items that are not personal effects or have a value of over £100. Value in pence,Optional,xs:long,,,
600,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,unspecifiedItemsValueGranted,Cover level granted for all items that are not personal effects or have a value of over £100. Value in pence,Optional,xs:long,,,
601,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,waterMainsConnection,Indicates whether the property is connected to the mains water system,Optional,xs:boolean,,,
602,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,yearLastRewired,,Optional,xs:int,,,
603,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,yearRoofLastThatched,,Optional,xs:int,,,
604,POLICY,Household Policy,n/a,n/a,n/a,householdPolicy,yearsBuilt,The year when the main part of the property was built,Mandatory,xs:int,4 digit year,,
605,POLICY,Household Policy,allRiskSpecifiedItem,n/a,n/a,allRisksSpecifiedItem,id,Optional sequence number for XML model,Optional,string (255),,,
606,POLICY,Household Policy,allRiskSpecifiedItem,n/a,n/a,allRisksSpecifiedItem,category,,Mandatory,xs:string (255),All Risks Specified Items (1476),,Yes
607,POLICY,Household Policy,allRiskSpecifiedItem,n/a,n/a,allRisksSpecifiedItem,description,,Mandatory,xs:string (100),,,
608,POLICY,Household Policy,allRiskSpecifiedItem,n/a,n/a,allRisksSpecifiedItem,value,Value in pence,Mandatory,xs:long,,,
609,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,accountNumber,The mortgage account number of this Named Party,Optional,xs:string (8),,,
610,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,addressLine1,,Optional,xs:string (32),,,
611,POLICY,Household Policy,interestedParty,n/a,n/a,interestedParty,addressLine2,,Optional,xs:string (32),,,
